Código Interno Transferência;Mês / Ano;Tipo Transferência;Tipo Favorecido;Uf;Código Município Siafi;Nome Município;Código Orgão Siafi;Nome Orgão;Código Unidade Gestora;Nome Unidade Gestora;Código Função;Nome Função;Código SubFunção;Nome SubFunção;Código Programa;Nome Programa;Ação Orçamentária;Nome Ação;Linguagem Cidadã;Código Grupo Despesa;Nome Grupo Despesa;Código Modalidade Aplicação Despesa;Nome Modalidade Aplicação Despesa;Código Elemento Despesa;Nome Elemento Despesa;Código Plano Orçamentário;Nome Plano Orçamentário;Código SubTítulo;Nome SubTítulo;Código Localizador;Nome Localizador;Sigla Localizador;Descrição Complementar Localizador;Código Favorecido;Nome Favorecido;Valor Transferência
3371183;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;7466952
3371184;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19329450
3371185;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UC;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19485600
3371186;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AH;ORGANIZACAO DOS SERVICOS DE ASSISTENCIA FARMACEUTICA NO SUS;Estruturação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;600000
3371187;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1449450
3371188;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;827062
3371189;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UB;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE AS ENDEM;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1412000
3272804;202406;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2056380
3272805;202406;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;4964740
3272806;202406;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0369;TRANSFERENCIA DAS QUOTAS ESTADUAL E MUNICIPAL DO SALARIO-EDUCACAO;Cota-parte dos Estados e DF do Salário-Educação;;Outras Despesas Correntes;;Transferências a Municípios;;Distribuição Constitucional ou Legal de Receitas;;;;;;;;;;;17165706
3277265;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00US;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1665644
3277266;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;10408859
3277267;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1444065
3277268;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;4635452
3277269;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;20568100
3277270;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UC;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19485600
3277271;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1449450
3277272;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;827062
3277273;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UB;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE AS ENDEM;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1412000
3277274;202406;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;150800
3124148;202405;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2056380
3124149;202405;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;5092580
3131072;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219E;ACOES DE PROTECAO SOCIAL BASICA;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1687662
3131073;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;520000
3131074;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00US;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;2106372
3131075;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UW;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;9499235
3131076;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;10408859
3131077;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;4635452
3131078;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;7220325
3131079;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19329450
3131080;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UC;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19485600
3131081;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1449450
3131082;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;827062
3131083;202405;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UB;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE AS ENDEM;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1412000
